id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1633,46.38.0,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,5,46.38,4,1633,2026-01-30 14:17:51,2026-01-30 14:17:51
1634,46.38.00,Commercio all'ingrosso di altri prodotti alimentari,Wholesale of other food,6,46.38.0,5,1634,2026-01-30 14:17:51,2026-01-30 14:17:51
1635,46.39,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco",4,46.3,3,1635,2026-01-30 14:17:51,2026-01-30 14:17:51
1636,46.39.0,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco",5,46.39,4,1636,2026-01-30 14:17:51,2026-01-30 14:17:51
1637,46.39.00,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi","Non-specialised wholesale of food, beverages and tobacco",6,46.39.0,5,1637,2026-01-30 14:17:51,2026-01-30 14:17:51
1638,46.4,Commercio all'ingrosso di beni di consumo,Wholesale of household goods,3,46,2,1638,2026-01-30 14:17:51,2026-01-30 14:17:51
1639,46.41,Commercio all'ingrosso di prodotti tessili,Wholesale of textiles,4,46.4,3,1639,2026-01-30 14:17:51,2026-01-30 14:17:51
1640,46.41.1,Commercio all'ingrosso di tessuti,Wholesale of fabrics,5,46.41,4,1640,2026-01-30 14:17:51,2026-01-30 14:17:51
1641,46.41.10,Commercio all'ingrosso di tessuti,Wholesale of fabrics,6,46.41.1,5,1641,2026-01-30 14:17:51,2026-01-30 14:17:51
1642,46.41.2,Commercio all'ingrosso di filati e articoli di merceria,Wholesale of yarn and haberdashery,5,46.41,4,1642,2026-01-30 14:17:51,2026-01-30 14:17:51
1643,46.41.20,Commercio all'ingrosso di filati e articoli di merceria,Wholesale of yarn and haberdashery,6,46.41.2,5,1643,2026-01-30 14:17:51,2026-01-30 14:17:51
1644,46.41.9,Commercio all'ingrosso di altri prodotti tessili,Wholesale of other textiles,5,46.41,4,1644,2026-01-30 14:17:51,2026-01-30 14:17:51
1645,46.41.90,Commercio all'ingrosso di altri prodotti tessili,Wholesale of other textiles,6,46.41.9,5,1645,2026-01-30 14:17:51,2026-01-30 14:17:51
1646,46.42,Commercio all'ingrosso di abbigliamento e di calzature,Wholesale of clothing and footwear,4,46.4,3,1646,2026-01-30 14:17:51,2026-01-30 14:17:51
1647,46.42.1,Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento,Wholesale of clothing and clothing accessories,5,46.42,4,1647,2026-01-30 14:17:51,2026-01-30 14:17:51
1648,46.42.10,Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento,Wholesale of clothing and clothing accessories,6,46.42.1,5,1648,2026-01-30 14:17:51,2026-01-30 14:17:51
1649,46.42.2,Commercio all'ingrosso di articoli in pelliccia,Wholesale of fur articles,5,46.42,4,1649,2026-01-30 14:17:51,2026-01-30 14:17:51
1650,46.42.20,Commercio all'ingrosso di articoli in pelliccia,Wholesale of fur articles,6,46.42.2,5,1650,2026-01-30 14:17:51,2026-01-30 14:17:51
1651,46.42.3,Commercio all'ingrosso di calzature,Wholesale of footwear,5,46.42,4,1651,2026-01-30 14:17:51,2026-01-30 14:17:51
1652,46.42.30,Commercio all'ingrosso di calzature,Wholesale of footwear,6,46.42.3,5,1652,2026-01-30 14:17:51,2026-01-30 14:17:51
1653,46.43,Commercio all'ingrosso di elettrodomestici,Wholesale of electrical household appliances,4,46.4,3,1653,2026-01-30 14:17:51,2026-01-30 14:17:51
1654,46.43.1,Commercio all'ingrosso di articoli per fotografia e ottica,Wholesale of photographic and optical goods,5,46.43,4,1654,2026-01-30 14:17:51,2026-01-30 14:17:51
1655,46.43.10,Commercio all'ingrosso di articoli per fotografia e ottica,Wholesale of photographic and optical goods,6,46.43.1,5,1655,2026-01-30 14:17:51,2026-01-30 14:17:51
1656,46.43.2,Commercio all'ingrosso di apparecchiature radiotelevisive,Wholesale of radio and television equipment,5,46.43,4,1656,2026-01-30 14:17:51,2026-01-30 14:17:51
1657,46.43.20,Commercio all'ingrosso di apparecchiature radiotelevisive,Wholesale of radio and television equipment,6,46.43.2,5,1657,2026-01-30 14:17:51,2026-01-30 14:17:51
1658,46.43.3,Commercio all'ingrosso di altri elettrodomestici,Wholesale of other electrical household appliances,5,46.43,4,1658,2026-01-30 14:17:51,2026-01-30 14:17:51
1659,46.43.30,Commercio all'ingrosso di altri elettrodomestici,Wholesale of other electrical household appliances,6,46.43.3,5,1659,2026-01-30 14:17:51,2026-01-30 14:17:51
1660,46.44,"Commercio all'ingrosso di articoli di porcellana, di vetro e di prodotti per la pulizia",Wholesale of china and glassware and cleaning materials,4,46.4,3,1660,2026-01-30 14:17:51,2026-01-30 14:17:51
1661,46.44.1,Commercio all'ingrosso di articoli di porcellana,Wholesale of chinaware,5,46.44,4,1661,2026-01-30 14:17:51,2026-01-30 14:17:51
1662,46.44.10,Commercio all'ingrosso di articoli di porcellana,Wholesale of chinaware,6,46.44.1,5,1662,2026-01-30 14:17:51,2026-01-30 14:17:51
1663,46.44.2,Commercio all'ingrosso di articoli di vetro,Wholesale of glassware,5,46.44,4,1663,2026-01-30 14:17:51,2026-01-30 14:17:51
1664,46.44.20,Commercio all'ingrosso di articoli di vetro,Wholesale of glassware,6,46.44.2,5,1664,2026-01-30 14:17:51,2026-01-30 14:17:51
1665,46.44.3,"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery",5,46.44,4,1665,2026-01-30 14:17:51,2026-01-30 14:17:51
1666,46.44.30,"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame","Wholesale of other household utensils, crockery and pottery",6,46.44.3,5,1666,2026-01-30 14:17:51,2026-01-30 14:17:51
